ID	allele_type
MTBC_322	core
MTBC_323	core
MTBC_324	accessory
MTBC_325	accessory
MTBC_326	core
MTBC_327	core
MTBC_328	core
MTBC_329	core
MTBC_330	core
MTBC_331	core
MTBC_332	core
MTBC_333	accessory
MTBC_334	core
MTBC_335	accessory
MTBC_336	core
MTBC_337	core
MTBC_338	accessory
MTBC_339	core
MTBC_340	accessory
MTBC_341	core
MTBC_342	core
MTBC_343	core
MTBC_344	core
MTBC_345	core
MTBC_346	core
MTBC_347	core
MTBC_348	core
MTBC_349	core
MTBC_350	core
MTBC_351	core
MTBC_352	core
MTBC_353	core
MTBC_354	core
MTBC_355	accessory
MTBC_356	core
MTBC_357	accessory
MTBC_358	core
MTBC_359	accessory
MTBC_360	core
MTBC_361	core
MTBC_362	core
MTBC_363	core
MTBC_364	core
MTBC_365	core
MTBC_366	accessory
MTBC_367	core
MTBC_368	core
MTBC_369	accessory
MTBC_370	core
MTBC_371	core
MTBC_372	core
MTBC_373	core
MTBC_374	core
MTBC_375	accessory
MTBC_376	core
MTBC_377	core
MTBC_378	core
MTBC_379	core
MTBC_380	core
MTBC_381	core
MTBC_382	core
MTBC_383	core
MTBC_384	core
MTBC_385	core
MTBC_386	core
MTBC_387	accessory
MTBC_388	core
MTBC_389	core
MTBC_390	core
MTBC_391	core
MTBC_392	core
MTBC_393	core
MTBC_394	core
MTBC_395	accessory
MTBC_396	core
MTBC_397	core
MTBC_398	core
MTBC_399	core
MTBC_400	core
MTBC_401	core
MTBC_402	core
MTBC_403	accessory
MTBC_404	accessory
MTBC_405	core
MTBC_406	core
MTBC_407	core
MTBC_408	core
MTBC_409	core
MTBC_410	core
MTBC_411	accessory
MTBC_412	core
MTBC_413	core
MTBC_414	core
MTBC_415	core
MTBC_416	core
MTBC_417	core
MTBC_418	core
MTBC_419	core
MTBC_420	core
MTBC_421	core
MTBC_422	core
MTBC_423	core
MTBC_424	accessory
MTBC_425	core
MTBC_426	core
MTBC_427	core
MTBC_428	core
MTBC_429	accessory
MTBC_430	core
MTBC_431	core
MTBC_432	core
MTBC_433	core
MTBC_434	core
MTBC_435	core
MTBC_436	accessory
MTBC_437	core
MTBC_438	accessory
MTBC_439	core
MTBC_440	accessory
MTBC_441	core
MTBC_442	core
MTBC_443	core
MTBC_444	core
MTBC_445	core
MTBC_446	accessory
MTBC_447	core
MTBC_448	core
MTBC_449	core
MTBC_450	core
MTBC_451	core
MTBC_452	core
MTBC_453	accessory
MTBC_454	core
MTBC_455	core
MTBC_456	core
MTBC_457	core
MTBC_458	core
MTBC_459	accessory
MTBC_460	accessory
MTBC_461	core
MTBC_462	core
MTBC_463	core
MTBC_464	accessory
MTBC_465	core
MTBC_466	core
MTBC_467	core
MTBC_468	core
MTBC_469	core
MTBC_470	core
MTBC_471	core
MTBC_472	accessory
MTBC_473	core
MTBC_474	core
MTBC_475	accessory
MTBC_476	core
